id;fName;lName;dateOfBirth;ITN;
1;None;
2;Иия_1;Фамилия_1;2000;ITN1;
3;Иия_2;Фамилия_2;1979;ITN2;
4;Иия_3;Фамилия_3;1978;ITN3;
5;Иия_4;Фамилия_4;1974;ITN4;
6;Иия_5;Фамилия_5;1967;ITN5;
7;Иия_6;Фамилия_6;2002;ITN6;
8;Иия_7;Фамилия_7;1995;ITN7;
9;Иия_8;Фамилия_8;2003;ITN8;
10;Иия_9;Фамилия_9;1978;ITN9;
11;Иия_10;Фамилия_10;1989;ITN10;
12;Иия_11;Фамилия_11;1996;ITN11;
13;Иия_12;Фамилия_12;1986;ITN12;
14;Иия_13;Фамилия_13;1986;ITN13;
15;Иия_14;Фамилия_14;1992;ITN14;
16;Иия_15;Фамилия_15;1994;ITN15;
17;Иия_16;Фамилия_16;1967;ITN16;
18;Иия_17;Фамилия_17;1985;ITN17;
19;Иия_18;Фамилия_18;1964;ITN18;
20;Иия_19;Фамилия_19;1962;ITN19;
21;Иия_20;Фамилия_20;2000;ITN20;
22;Иия_21;Фамилия_21;2001;ITN21;
23;Иия_22;Фамилия_22;1998;ITN22;
24;Иия_23;Фамилия_23;1975;ITN23;
25;Иия_24;Фамилия_24;2001;ITN24;
26;Иия_25;Фамилия_25;1975;ITN25;
27;Иия_26;Фамилия_26;1983;ITN26;
28;Иия_27;Фамилия_27;1989;ITN27;
29;Иия_28;Фамилия_28;1966;ITN28;
30;Иия_29;Фамилия_29;1973;ITN29;
