id;fName;lName;dateOfBirth;ITN;
1;Иия_1;Фамилия_1;1980;ITN1;
2;Иия_2;Фамилия_2;1997;ITN2;
3;Иия_3;Фамилия_3;1999;ITN3;
4;Иия_4;Фамилия_4;1970;ITN4;
5;Иия_5;Фамилия_5;1984;ITN5;
6;Иия_6;Фамилия_6;1971;ITN6;
7;Иия_7;Фамилия_7;2003;ITN7;
8;Иия_8;Фамилия_8;2001;ITN8;
9;Иия_9;Фамилия_9;1985;ITN9;
10;Иия_10;Фамилия_10;1975;ITN10;
11;Иия_11;Фамилия_11;1999;ITN11;
12;Иия_12;Фамилия_12;1987;ITN12;
13;Иия_13;Фамилия_13;1981;ITN13;
14;Иия_14;Фамилия_14;2003;ITN14;
15;Иия_15;Фамилия_15;1967;ITN15;
16;Иия_16;Фамилия_16;1962;ITN16;
17;Иия_17;Фамилия_17;1962;ITN17;
18;Иия_18;Фамилия_18;2001;ITN18;
19;Иия_19;Фамилия_19;1999;ITN19;
20;Иия_20;Фамилия_20;1965;ITN20;
21;Иия_21;Фамилия_21;1993;ITN21;
22;Иия_22;Фамилия_22;1978;ITN22;
23;Иия_23;Фамилия_23;2003;ITN23;
24;Иия_24;Фамилия_24;1975;ITN24;
25;Иия_25;Фамилия_25;1985;ITN25;
26;Иия_26;Фамилия_26;1994;ITN26;
27;Иия_27;Фамилия_27;1985;ITN27;
28;Иия_28;Фамилия_28;2003;ITN28;
29;Иия_29;Фамилия_29;1993;ITN29;
30;Иия_30;Фамилия_30;1988;ITN30;
