id;fName;lName;dateOfBirth;ITN;
1;Иия_1;Фамилия_1;1993;ITN1;
2;Иия_2;Фамилия_2;1983;ITN2;
3;Иия_3;Фамилия_3;2001;ITN3;
4;Иия_4;Фамилия_4;1995;ITN4;
5;Иия_5;Фамилия_5;1975;ITN5;
6;Иия_6;Фамилия_6;1964;ITN6;
7;Иия_7;Фамилия_7;2001;ITN7;
8;Иия_8;Фамилия_8;1966;ITN8;
9;Иия_9;Фамилия_9;1972;ITN9;
10;Иия_10;Фамилия_10;1976;ITN10;
11;Иия_11;Фамилия_11;1985;ITN11;
12;Иия_12;Фамилия_12;2001;ITN12;
13;Иия_13;Фамилия_13;1979;ITN13;
14;Иия_14;Фамилия_14;1991;ITN14;
15;Иия_15;Фамилия_15;1980;ITN15;
16;Иия_16;Фамилия_16;1963;ITN16;
17;Иия_17;Фамилия_17;2002;ITN17;
18;Иия_18;Фамилия_18;1965;ITN18;
19;Иия_19;Фамилия_19;1977;ITN19;
20;Иия_20;Фамилия_20;1993;ITN20;
